Dataset,Model,Best Accuracy
caltech101_7.py,seresnet50.py,74.22222
caltech101_7.py,mobilenet.py,99.55556
caltech101_4.py,resnet50.py,100.0
caltech101_6.py,resnet18.py,98.92474
caltech101_0.py,mobilenet.py,99.31741
caltech101_1.py,mobilenet.py,98.19277
caltech101_3.py,resnet34.py,49.34211
caltech101_8.py,resnet50.py,100.0
caltech101_1.py,resnet18.py,98.79518
caltech101_0.py,resnet18.py,98.63482
caltech101_3.py,resnet50.py,99.3421
caltech101_6.py,resnet34.py,73.65591
caltech101_5.py,mobilenet.py,100.0
caltech101_6.py,mobilenet.py,99.46237
caltech101_3.py,mobilenet.py,98.68421
caltech101_6.py,resnet50.py,99.46237
caltech101_2.py,mobilenet.py,96.47577
caltech101_0.py,seresnet50.py,81.22867
caltech101_4.py,resnet34.py,55.04587
caltech101_3.py,seresnet50.py,53.28947
caltech101_6.py,seresnet50.py,79.03226
caltech101_2.py,resnet18.py,94.27312
caltech101_1.py,resnet34.py,48.79518
caltech101_2.py,resnet34.py,49.33921
caltech101_7.py,resnet34.py,71.11111
caltech101_5.py,resnet50.py,100.0
caltech101_8.py,resnet18.py,99.68051
caltech101_7.py,resnet50.py,99.55556
caltech101_5.py,resnet18.py,99.30555
caltech101_0.py,resnet34.py,79.18089
caltech101_1.py,resnet50.py,99.39759
caltech101_8.py,mobilenet.py,100.0
caltech101_4.py,mobilenet.py,99.08257
caltech101_3.py,resnet18.py,100.0
caltech101_4.py,seresnet50.py,60.55046
caltech101_2.py,seresnet50.py,58.59031
caltech101_8.py,seresnet50.py,76.67731
caltech101_4.py,resnet18.py,98.16514
caltech101_1.py,seresnet50.py,55.42169
caltech101_8.py,resnet34.py,77.31629
caltech101_5.py,resnet34.py,47.22222
caltech101_5.py,seresnet50.py,56.94444
caltech101_0.py,resnet50.py,98.63482
caltech101_2.py,resnet50.py,96.03524
caltech101_7.py,resnet18.py,100.0
